timestamp,event_type,source,keyword,outcome,severity,description,control_ref,scan_id
"2026-03-02T17:27:55Z","SEARCH_WEB","tavily_search","Colorado Springs","found","low","Web result: State cites Children's Hospital Colorado, Colorado Springs, for leak ...","AU-13","scan_20260302_172751_48224"
"2026-03-02T17:27:55Z","SEARCH_WEB","tavily_search","Colorado Springs","found","low","Web result: Colorado Springs Police are responding to a fatal traffic collision that ...","AU-13","scan_20260302_172751_48224"
"2026-03-02T17:27:55Z","SEARCH_WEB","tavily_search","Colorado Springs","found","low","Web result: The Colorado Springs Fire Department said it responded to a ...","AU-13","scan_20260302_172751_48224"
"2026-03-02T17:27:55Z","SEARCH_WEB","tavily_search","Colorado Springs","found","low","Web result: COLORADO SPRINGS LANDFILL & RECYCLING CENTER - Yelp","AU-13","scan_20260302_172751_48224"
"2026-03-02T17:27:56Z","SEARCH_WEB","tavily_search","Colorado Springs","found","low","Web result: USA Hockey","AU-13","scan_20260302_172751_48224"
"2026-03-02T17:27:57Z","SEARCH_WEB","tavily_search","Colorado Springs","found","low","Web result: Plan C407 Plan - Colorado Springs, CO - NewHomeSource","AU-13","scan_20260302_172751_48224"
"2026-03-02T17:27:57Z","SEARCH_WEB","tavily_search","Colorado Springs","found","low","Web result: Southeast Strong Neighborhood Plan | City of Colorado Springs","AU-13","scan_20260302_172751_48224"
"2026-03-02T17:27:57Z","SEARCH_WEB","tavily_search","Colorado Springs","found","low","Web result: Floor Plans of Aura Crossroads in Colorado Springs, CO","AU-13","scan_20260302_172751_48224"
"2026-03-02T17:27:57Z","SEARCH_WEB","tavily_search","Colorado Springs","found","low","Web result: CSURA Strategic Plan - Colorado Springs Urban Renewal Authority","AU-13","scan_20260302_172751_48224"
"2026-03-02T17:27:58Z","SEARCH_WEB","tavily_search","Colorado Springs","found","low","Web result: The Ridge at Lorson Ranch Osprey Floor Plan - Colorado - DR Horton","AU-13","scan_20260302_172751_48224"
"2026-03-02T17:27:58Z","SEARCH_WEB","tavily_search","Colorado Springs","found","low","Web result: 2026 Action Plan for Housing and Homelessness Response","AU-13","scan_20260302_172751_48224"
"2026-03-02T17:27:58Z","SEARCH_WEB","tavily_search","Colorado Springs","found","low","Web result: Pikes Peak Regional Building Department: PPRBD","AU-13","scan_20260302_172751_48224"
"2026-03-02T17:27:58Z","CHECK_CVE","nist_nvd","Colorado Springs","not_found","info","No CVEs found for keyword","AU-13","scan_20260302_172751_48224"
"2026-03-02T17:28:25Z","CHECK_THREAT","otx","Colorado Springs","found","low","Threat intel pulse: Malware - Malware Domain Feed V2 - November 03 2020 (0 indicators)","AU-13","scan_20260302_172751_48224"
"2026-03-02T17:28:25Z","CHECK_THREAT","otx","Colorado Springs","found","low","Threat intel pulse: IOC Records Provided by @NextRayAI (0 indicators)","AU-13","scan_20260302_172751_48224"
"2026-03-02T17:28:25Z","CHECK_THREAT","otx","Colorado Springs","found","low","Threat intel pulse: Fake Casino/betting websites targetting people where such activities are illegal (0 indicators)","AU-13","scan_20260302_172751_48224"
"2026-03-02T17:28:26Z","CHECK_THREAT","otx","Colorado Springs","found","low","Threat intel pulse: AC (0 indicators)","AU-13","scan_20260302_172751_48224"
"2026-03-02T17:28:26Z","CHECK_THREAT","otx","Colorado Springs","found","low","Threat intel pulse: IOC Records → Provided by @NextRayAI (0 indicators)","AU-13","scan_20260302_172751_48224"
"2026-03-02T17:28:28Z","SEARCH_CHAN","fourchan_dork","Colorado Springs","found","low","Web result: City of Colorado Springs - Overview, News & Similar companies","AU-13","scan_20260302_172751_48224"
"2026-03-02T17:28:28Z","SEARCH_CHAN","fourchan_dork","Colorado Springs","found","low","Web result: colorado springs local guide and recommendations - Facebook","AU-13","scan_20260302_172751_48224"
"2026-03-02T17:28:28Z","SEARCH_CHAN","fourchan_dork","Colorado Springs","found","low","Web result: Downtown Colorado Springs isn't just a location, it's a lifestyle ...","AU-13","scan_20260302_172751_48224"
"2026-03-02T17:28:29Z","SEARCH_CHAN","fourchan_dork","Colorado Springs","found","low","Web result: We could not be more excited to announce our first Colorado ...","AU-13","scan_20260302_172751_48224"
"2026-03-02T17:28:29Z","SEARCH_CHAN","fourchan_dork","Colorado Springs","found","low","Web result: Located South Colorado Springs - Facebook","AU-13","scan_20260302_172751_48224"
"2026-03-02T17:28:29Z","SEARCH_CHAN","fourchan_dork","Colorado Springs","found","low","Web result: Colorado Springs - Facebook","AU-13","scan_20260302_172751_48224"
"2026-03-02T17:28:29Z","SEARCH_CHAN","fourchan_dork","Colorado Springs","found","low","Web result: Colorado Springs - Facebook","AU-13","scan_20260302_172751_48224"
"2026-03-02T17:28:29Z","SEARCH_CHAN","fourchan_dork","Colorado Springs","found","low","Web result: City of Colorado Springs: Home Page","AU-13","scan_20260302_172751_48224"
"2026-03-02T17:28:29Z","SEARCH_CHAN","fourchan_dork","Colorado Springs","found","low","Web result: Colorado Springs Travel Guide - Expedia","AU-13","scan_20260302_172751_48224"
"2026-03-02T17:28:30Z","SEARCH_CHAN","fourchan_dork","Colorado Springs","found","low","Web result: 10 Best Colorado Springs Hotels, United States (From $54)","AU-13","scan_20260302_172751_48224"
"2026-03-02T17:28:57Z","AI_ANALYSIS","xai_grok","Colorado Springs","found","low","AI Risk Assessment: The aggregated findings for 'Colorado Springs' primarily consist of low-severity OTX pulses with zero indicators and public web results from city government sites, housing plans, social media, and commercial listings, representing negligible information disclosure risks. Expanded research confirms no recent credential dumps, active exploits, or sensitive data leaks on 4chan or dark web sources; historical incidents like the 2022 Colorado Springs Utilities breach and 2025 PowerSchool school di...","AU-13","scan_20260302_172751_48224"
